infinitive,class,stress
ню́хать,1,a
вытира́ть,1,a
везти́,7,b
ука́зывать,1,a
уво́лить,4,a
кровото́чить,4,b
приказа́ть,6,c
гни́ть,12,b
хорони́ть,4,c
тара́щиться,4,a
роди́ть,4,b
уничто́жить,4,a
кружи́ться,4,c
отдохну́ть,3,b
спровоци́ровать,2,a
расста́ться,15,a
уху́дшиться,4,a
защища́ть,1,a
завеща́ть,1,a
подде́рживать,1,a
разводи́ться,4,c
утоля́ть,1,a
сокраща́ть,1,a
разбавля́ть,1,a
торгова́ться,2,a
патрули́ровать,2,a
инвести́ровать,2,a
соотве́тствовать,2,a
разби́ть,11,b
аккомпани́ровать,2,a
размножа́ться,1,a
познако́миться,4,a
знако́миться,4,a
ода́лживать,1,a
лга́ть,6,b
упоря́дочивать,1,a
загля́дывать,1,a
свя́зывать,1,a
храпе́ть,5,b
поклоня́ться,1,a
коси́ть,4,c
атакова́ть,2,a
тону́ть,3,c
вмеша́ться,1,a
отменя́ть,1,a
архиви́ровать,2,a
смягчи́ть,4,b
смягча́ть,1,a
пренебрега́ть,1,a
разба́вить,4,a
ша́рить,4,a
прерва́ть,6,b
разбаза́ривать,1,a
вы́растить,4,a
воспита́ть,1,a
воспи́тывать,1,a
коагули́ровать,2,a
поглоща́ть,1,a
разубежда́ть,1,a
убеди́ть,4,b
поте́ть,1,a
кипе́ть,5,b
асфальти́ровать,2,a
вторга́ться,1,a
отре́зать,6,a
отреза́ть,1,a
превосходи́ть,4,c
свести́,7,b
угоща́ть,1,a
подтвержда́ть,1,a
сёрбать,1,a
искореня́ть,1,a
худе́ть,1,a
бле́ять,6,a
прима́нивать,1,a
запо́лнить,4,a
реклами́ровать,2,a
обхва́тывать,1,a
потака́ть,1,a
улу́чшиться,4,a
сходи́ть,4,c
чихну́ть,3,b
чиха́ть,1,a
запасти́,7,b
экстради́ровать,2,a
бесе́довать,2,a
подписа́ться,6,c
смени́ть,4,c
опоя́сывать,1,a
убыстря́ть,1,a
упоря́дочить,4,a
улучша́ться,1,a
развле́чь,8,b
колдова́ть,2,a
развлека́ть,1,a
полага́ться,1,a
положи́ться,4,c
загора́ть,1,a
автоматизи́ровать,2,a
навести́,7,b
модернизи́ровать,2,a
отряжа́ть,1,a
дрочи́ть,4,c
мочи́ться,4,c
толсте́ть,1,a
зака́зывать,1,a
проси́ть,4,c
воня́ть,1,a
симули́ровать,2,a
поу́жинать,1,a
у́жинать,1,a
ужина́ть,1,a
соблазни́ть,4,b
соблазня́ть,1,a
тро́нуть,3,a
тро́гать,1,a
съе́сть,irreg,
реша́ть,1,a
въезжа́ть,1,a
напива́ться,1,a
выезжа́ть,1,a
вы́ебать,6,a
подозрева́ть,1,a
жра́ть,6,b
ороси́ть,4,b
снима́ть,1,a
задохну́ться,3,b
продо́лжить,4,a
фотографи́ровать,2,a
освобожда́ть,1,a
сту́кнуть,3,a
досади́ть,4,b
лизну́ть,3,b
причини́ть,4,b
созре́ть,1,a
оде́ться,15,a
одева́ть,1,a
мы́слить,4,a
схорони́ть,4,c
испо́лнить,4,a
похорони́ть,4,c
раскрыва́ть,1,a
подмётывать,1,a
подмести́,7,b
постуча́ть,5,b
нарасти́ть,4,b
удали́ть,4,b
сви́стнуть,3,a
включа́ть,1,a
разбива́ть,1,a
выключа́ть,1,a
погла́дить,4,a
посети́ть,4,b
возбуди́ть,4,b
роди́ться,4,b
после́довать,2,a
насле́довать,2,a
искази́ть,4,b
изогну́ть,3,b
робе́ть,1,a
поля́чить,4,a
уди́ть,4,c
указа́ть,6,c
сжа́ть,14,b
уменьша́ться,1,a
приобрести́,7,b
поступи́ть,4,c
признава́ть,13,b
пролива́ть,1,a
посади́ть,4,c
загото́вить,4,a
подгото́виться,4,a
подгото́вить,4,a
пригото́вить,4,a
пригото́виться,4,a
сложи́ть,4,c
склони́ть,4,c
приводи́ть,4,c
провожа́ть,1,a
возгла́вить,4,a
опереди́ть,4,b
запреща́ть,1,a
вы́держать,5,a
занима́ть,1,a
выноси́ть,4,c
вы́носить,4,a
передава́ть,13,b
переда́ть,irreg,
толкну́ть,3,b
производи́ть,4,c
подари́ть,4,c
срази́ться,4,b
соедини́ть,4,b
прика́зывать,1,a
заказа́ть,6,c
пропуска́ть,1,a
защити́ть,4,b
сбра́сывать,1,a
похи́тить,4,a
посове́товать,2,a
вы́шить,11,a
предста́вить,4,a
помести́ть,4,b
заряди́ть,4,b
зарабо́тать,1,a
употреби́ть,4,b
разбуди́ть,4,c
случа́ться,1,a
ока́нчивать,1,a
подтверди́ть,4,b
огласи́ть,4,b
обличи́ть,4,b
породи́ть,4,b
размно́житься,4,a
вынужда́ть,1,a
прекрати́ться,4,b
подкупи́ть,4,c
потре́бовать,2,a
изуро́довать,2,a
увольня́ть,1,a
вы́сохнуть,3,a
качну́ться,3,b
получи́ться,4,c
злоумы́слить,4,a
оскорби́ть,4,b
пообеща́ть,1,a
направля́ться,1,a
побежда́ть,1,a
проника́ть,1,a
въе́хать,irreg,
зли́ть,4,b
позли́ть,4,b
суди́ть,4,c
вто́ргнуться,3,a
доставля́ть,1,a
догоня́ть,1,a
сократи́ть,4,b
кочева́ть,2,a
прису́тствовать,2,a
воспрети́ть,4,b
